neuron,ng_link,seg_id,pink_pts,num_endpoints,endpoints,comments,detailed_comments
864691136577830164,https://neuroglancer.neuvue.io/?json_url=https://global.daf-apis.com/nglstate/api/v1/4550155516772352,864691135909994000,"(402188, 228684, 24029)",2,"(402584, 228856, 23991); (402985, 229235, 23554)",good,
864691136577830164,https://neuroglancer.neuvue.io/?json_url=https://global.daf-apis.com/nglstate/api/v1/4550155516772352,864691135247440303,"(401258, 224832, 24029)",3,"(401612, 224623, 23991); (405257, 226318, 23620);  (409162, 219642, 23891)",good,
864691136577830164,https://neuroglancer.neuvue.io/?json_url=https://global.daf-apis.com/nglstate/api/v1/4550155516772352,864691134794123793,"(401314, 228366, 24424)",2,"(401242, 228382, 24444); (400982, 228457, 24513)",m,merged to two axon pieces
864691136577830164,https://neuroglancer.neuvue.io/?json_url=https://global.daf-apis.com/nglstate/api/v1/4550155516772352,864691135772363453,"(400199, 220721, 24029)",7,"(401289, 218721, 23991); (399895, 216533, 23526);  (406366, 215719, 23621); (403940, 210639, 23991);  (394569, 213255, 23991);  (376682, 175983, 22020);  (365111, 191189, 24020); (371210, 191781, 21770)",m,
864691136577830164,https://neuroglancer.neuvue.io/?json_url=https://global.daf-apis.com/nglstate/api/v1/4550155516772352,864691135314714227,"(397870, 232292, 24004)",2,"(397867, 232230, 23999);  (397854, 232252, 23997)",good,
864691136577830164,https://neuroglancer.neuvue.io/?json_url=https://global.daf-apis.com/nglstate/api/v1/4550155516772352,864691135552841025,"(403272, 227529, 24394)",2,"(403332, 227545, 24398); (403566, 227614, 24425)",good,
864691135683615218,https://neuroglancer.neuvue.io/?json_url=https://global.daf-apis.com/nglstate/api/v1/6751028661714944,864691134406233920,"(100382, 143836, 21642)",2,"(100475, 143982, 21654); (100583, 144194, 21702)",good,
864691135683615218,https://neuroglancer.neuvue.io/?json_url=https://global.daf-apis.com/nglstate/api/v1/6751028661714944,864691136080776044,"(80699, 146603, 20732)",5,"(80890, 147158, 20708);  (81592, 148549, 20453);  (81373, 148139, 20453); (83362, 154016, 20454); (83471, 163193, 20640)",e,
864691135683615218,https://neuroglancer.neuvue.io/?json_url=https://global.daf-apis.com/nglstate/api/v1/6751028661714944,864691134330810585,"(72020, 146120, 20454)",2,"(71894, 146181, 20442);  (71499, 146291, 20404)",good,
864691135683615218,https://neuroglancer.neuvue.io/?json_url=https://global.daf-apis.com/nglstate/api/v1/6751028661714944,864691135337564242,"(78888, 144940, 20729)",5,"(78610, 145071, 20707); (75884, 143590, 20453); (78226, 151636, 19714);  (66549, 151567, 19790); (78090, 150130, 20388)",good,
864691135683615218,https://neuroglancer.neuvue.io/?json_url=https://global.daf-apis.com/nglstate/api/v1/6751028661714944,864691135920135864,"(77581, 107903, 21128)",2,"(77575, 107807, 21133); (77000, 99565, 21215)",good,
