neuron,ng_link,seg_id,pink_pts,num_endpoints,endpoints,comments,detailed_comments
864691136577830164,https://neuroglancer.neuvue.io/?json_url=https://global.daf-apis.com/nglstate/api/v1/4550155516772352,864691135909994000,"(402188, 228684, 24029)",2,"(402547, 228831, 23991); (402958, 229220, 23552)",good,
864691136577830164,https://neuroglancer.neuvue.io/?json_url=https://global.daf-apis.com/nglstate/api/v1/4550155516772352,864691135247440303,"(401258, 224832, 24029)",3,"(401602, 224623, 23991); (405273, 226312, 23618);  (409204, 219553, 23892)",good,
864691135683615218,https://neuroglancer.neuvue.io/?json_url=https://global.daf-apis.com/nglstate/api/v1/6751028661714944,864691135516937065,"(77233, 113188, 20454)",3,"(77262, 113088, 20442); (79178, 109113, 20400); (79192, 109160, 20432)",good,ONE FALSE MERGE
864691135683615218,https://neuroglancer.neuvue.io/?json_url=https://global.daf-apis.com/nglstate/api/v1/6751028661714944,864691134406233920,"(100382, 143836, 21642)",3,"(100423, 143992, 21653); (100583, 144194, 21702); (100740, 144751, 21652)",good,
864691135683615219,https://neuroglancer.neuvue.io/?json_url=https://global.daf-apis.com/nglstate/api/v1/6751028661714944,864691135920135864,"(77581, 107903, 21128)",2,"(77575, 107807, 21133); (77000, 99565, 21215)",good,
864691135683615220,https://neuroglancer.neuvue.io/?json_url=https://global.daf-apis.com/nglstate/api/v1/6751028661714945,864691135730780609,"(79752, 135765, 21128)",3,"(79785, 135709, 21133); (84176, 127514, 21582); (80523, 134733, 21498)",good,
864691135683615221,https://neuroglancer.neuvue.io/?json_url=https://global.daf-apis.com/nglstate/api/v1/6751028661714946,864691135651129491,"(81247, 106776, 21128)",2,"(81198, 106660, 21133); (88834, 99501, 20479)",good,
864691135683615222,https://neuroglancer.neuvue.io/?json_url=https://global.daf-apis.com/nglstate/api/v1/6751028661714946,864691134918217423,"(75434, 116406, 21128)",2,"(75409, 116393, 21135); (74841, 116076, 21217)",good,
864691135837578899,https://neuroglancer.neuvue.io/?json_url=https://global.daf-apis.com/nglstate/api/v1/6652788599685120,864691134472630080,"(351264, 143646, 15182)",2,"(351150, 143681, 15176); (348147, 144970, 14850)",good,
864691135837578899,https://neuroglancer.neuvue.io/?json_url=https://global.daf-apis.com/nglstate/api/v1/6652788599685120,864691134865499607,"(366661, 138894, 16413)",2,"(366719, 138890, 16417); (367885, 138975, 16518)",good,
864691135837578899,https://neuroglancer.neuvue.io/?json_url=https://global.daf-apis.com/nglstate/api/v1/6652788599685120,864691134742288112,"(353391, 147582, 15182)",2,"(353411, 147608, 15177); (352173, 148914, 14850)",good,
864691135396741921,https://neuroglancer.neuvue.io/?json_url=https://global.daf-apis.com/nglstate/api/v1/6491916304646144,864691135621495904,"(346513, 82659, 27098)",4,"(346497, 82778, 27090); (339051, 74578, 26769); (339905, 90093, 27016); (341044, 76298, 26876)",good,"False merge at (341044, 76298, 26876)"
864691135396741921,https://neuroglancer.neuvue.io/?json_url=https://global.daf-apis.com/nglstate/api/v1/6491916304646144,864691136357471324,"(351862, 90983, 27294)",2,"(351839, 91058, 27284); (349567, 97065, 26976)",good,
864691135396741921,https://neuroglancer.neuvue.io/?json_url=https://global.daf-apis.com/nglstate/api/v1/6491916304646144,864691136343165555,"(357302, 81696, 25846)",3,"(357525, 81584, 25828); (358640, 81180, 25734); (358199, 81368, 25779)",good,"False merge at (358199, 81368, 25779)"
864691135396741921,https://neuroglancer.neuvue.io/?json_url=https://global.daf-apis.com/nglstate/api/v1/6491916304646144,864691135652094947,"(347111, 87496, 25853)",2,"(347271, 87374, 25828); (347862, 89018, 24930)",good,
864691135360418631,https://neuroglancer.neuvue.io/?json_url=https://global.daf-apis.com/nglstate/api/v1/6535823218442240,864691135702260616,"(111625, 241512, 22793)",2,"(111700, 241689, 22797); (110188, 241117, 22872)",good,
864691135360418631,https://neuroglancer.neuvue.io/?json_url=https://global.daf-apis.com/nglstate/api/v1/6535823218442240,864691136235124174,"(116185, 247442, 23265)",2,"(116186, 247468, 23275); (114619, 246629, 23503)",good,
864691135463797061,https://neuroglancer.neuvue.io/?json_url=https://global.daf-apis.com/nglstate/api/v1/6446305094139904,864691136584897745,"(103052, 175611, 18430)",3,"(103037, 175591, 18434); (99978, 172371, 18836); (101051, 174172, 18703)",good, ONE FALSE MERGE
864691135445907602,https://neuroglancer.neuvue.io/?json_url=https://global.daf-apis.com/nglstate/api/v1/5409923311599616,864691135224157062,"(313432, 160982, 18587)",2,"(313505, 161103, 18580); (314477, 162881, 18717)",good,
864691135445907602,https://neuroglancer.neuvue.io/?json_url=https://global.daf-apis.com/nglstate/api/v1/5409923311599616,864691136694775836,"(307884, 98766, 19067)",2,"(307899, 98712, 19067); (309700, 87653, 19669)",good,
864691135445907602,https://neuroglancer.neuvue.io/?json_url=https://global.daf-apis.com/nglstate/api/v1/5409923311599616,864691135632675511,"(286774, 94565, 18046)",3,"(286807, 94503, 18046); (291939, 86875, 18287); (286266, 89000, 18566)",good,
864691135463797061,https://neuroglancer.neuvue.io/?json_url=https://global.daf-apis.com/nglstate/api/v1/6446305094139904,864691135258412858,"(104081, 174998, 18429)",2,"(104063, 174940, 18432); (104232, 162719, 20001)",good,
864691135445907602,https://neuroglancer.neuvue.io/?json_url=https://global.daf-apis.com/nglstate/api/v1/5409923311599616,864691135008495997,"(280662, 88268, 18962)",3,"(280639, 88256, 18965); (280377, 87163, 19077); (280657, 87964, 19009)",good,"False merge at (280657, 87964, 19009)"
864691135463797061,https://neuroglancer.neuvue.io/?json_url=https://global.daf-apis.com/nglstate/api/v1/6446305094139904,864691134996628976,"(84819, 179327, 16391)",2,"(84884, 179330, 16386); (84527, 179768, 16234)",good,
864691135445907602,https://neuroglancer.neuvue.io/?json_url=https://global.daf-apis.com/nglstate/api/v1/5409923311599616,864691135867535786,"(299328, 144118, 17855)",3,"(299386, 144111, 17853); (308152, 142095, 17214); (305704, 144056, 17549)",good,"False merge at (305704, 144056, 17549)"
