,run,precision,recall,f1,seg_id,num_endpoints,endpoints,invalidation_d,num_humfrey_iters,decimation_factor,comments,proposed_endpoints
0,1,0.6,1.0,0.7499999999999999,864691135489218668,3,"[[127745 180987  21829]
 [127799 168227  22142]
 [145826 168883  22019]]",4400,0,0.31,good,"[[138432 173943  22430]
 [127638 180929  21827]
 [145857 168937  22017]
 [129674 173228  22129]
 [127885 168277  22143]]"
1,2,0.6,1.0,0.7499999999999999,864691135489218668,3,"[[127745 180987  21829]
 [127799 168227  22142]
 [145826 168883  22019]]",4400,0,0.36444444444444446,good,"[[138432 173943  22430]
 [127827 168525  22170]
 [127638 180929  21827]
 [129674 173228  22129]
 [145842 168939  22015]]"
2,3,0.6,1.0,0.7499999999999999,864691135489218668,3,"[[127745 180987  21829]
 [127799 168227  22142]
 [145826 168883  22019]]",4400,0,0.41888888888888887,good,"[[138432 173943  22430]
 [127827 168525  22170]
 [129674 173228  22129]
 [127629 180959  21827]
 [145842 168939  22015]]"
3,4,0.6,1.0,0.7499999999999999,864691135489218668,3,"[[127745 180987  21829]
 [127799 168227  22142]
 [145826 168883  22019]]",4400,0,0.47333333333333333,good,"[[138432 173943  22430]
 [129648 173250  22129]
 [145834 168939  22015]
 [127827 168525  22170]
 [127629 180959  21827]]"
4,5,0.6,1.0,0.7499999999999999,864691135489218668,3,"[[127745 180987  21829]
 [127799 168227  22142]
 [145826 168883  22019]]",4400,0,0.5277777777777778,good,"[[138432 173943  22430]
 [145834 168939  22015]
 [127827 168525  22170]
 [127638 180929  21827]
 [129674 173228  22129]]"
5,6,0.6,1.0,0.7499999999999999,864691135489218668,3,"[[127745 180987  21829]
 [127799 168227  22142]
 [145826 168883  22019]]",4400,0,0.5822222222222222,good,"[[138432 173943  22430]
 [127638 180929  21827]
 [129674 173228  22129]
 [145826 168939  22017]
 [127840 168500  22171]]"
6,7,0.75,1.0,0.8571428571428571,864691135489218668,3,"[[127745 180987  21829]
 [127799 168227  22142]
 [145826 168883  22019]]",4400,0,0.6366666666666667,good,"[[127648 180915  21827]
 [145834 168939  22015]
 [127827 168504  22170]
 [129674 173228  22129]]"
7,8,0.75,1.0,0.8571428571428571,864691135489218668,3,"[[127745 180987  21829]
 [127799 168227  22142]
 [145826 168883  22019]]",4400,0,0.6911111111111111,good,"[[127648 180915  21827]
 [145834 168939  22015]
 [127827 168504  22170]
 [129674 173228  22129]]"
8,9,0.75,1.0,0.8571428571428571,864691135489218668,3,"[[127745 180987  21829]
 [127799 168227  22142]
 [145826 168883  22019]]",4400,0,0.7455555555555555,good,"[[127648 180915  21827]
 [145834 168939  22015]
 [127827 168504  22170]
 [129674 173228  22129]]"
9,10,0.75,1.0,0.8571428571428571,864691135489218668,3,"[[127745 180987  21829]
 [127799 168227  22142]
 [145826 168883  22019]]",4400,0,0.8,good,"[[127648 180915  21827]
 [145834 168939  22015]
 [129675 173229  22129]
 [127827 168504  22170]]"
10,11,1.0,1.0,1.0,864691135489218668,3,"[[127745 180987  21829]
 [127799 168227  22142]
 [145826 168883  22019]]",4400,25,0.31,good,"[[127849 168286  22143]
 [127644 180929  21827]
 [145852 168935  22017]]"
11,12,0.75,1.0,0.8571428571428571,864691135489218668,3,"[[127745 180987  21829]
 [127799 168227  22142]
 [145826 168883  22019]]",4400,25,0.36444444444444446,good,"[[127644 180929  21827]
 [129660 173205  22129]
 [127859 168291  22143]
 [145852 168935  22017]]"
12,13,0.6,1.0,0.7499999999999999,864691135489218668,3,"[[127745 180987  21829]
 [127799 168227  22142]
 [145826 168883  22019]]",4400,25,0.41888888888888887,good,"[[135093 175731  22476]
 [127644 180929  21827]
 [127859 168291  22143]
 [129654 173251  22129]
 [145852 168935  22017]]"
13,14,0.6,1.0,0.7499999999999999,864691135489218668,3,"[[127745 180987  21829]
 [127799 168227  22142]
 [145826 168883  22019]]",4400,25,0.47333333333333333,good,"[[135093 175731  22476]
 [145838 168946  22018]
 [127642 180930  21827]
 [127859 168291  22143]
 [129663 173241  22130]]"
14,15,0.6,1.0,0.7499999999999999,864691135489218668,3,"[[127745 180987  21829]
 [127799 168227  22142]
 [145826 168883  22019]]",4400,25,0.5277777777777778,good,"[[135093 175731  22476]
 [129663 173232  22130]
 [145838 168946  22018]
 [127642 180930  21827]
 [127837 168509  22170]]"
