,run,precision,recall,f1,seg_id,num_endpoints,endpoints,invalidation_d,num_bilaplacian_iters,decimation_factor,comments,proposed_endpoints
0,1,1.0,1.0,1.0,864691135909994000,2,"[[402584 228856  23991]
 [402985 229235  23554]]",5800,70,0.6,good,"[[402977 229238  23552]
 [402560 228774  23990]]"
1,1,1.0,1.0,1.0,864691135247440303,3,"[[401612 224623  23991]
 [405257 226318  23620]
 [409162 219642  23891]]",5800,70,0.6,good,"[[401518 224650  23989]
 [405025 226749  23620]
 [409142 219359  23868]]"
2,1,1.0,1.0,1.0,864691135314714227,2,"[[397867 232230  23999]
 [397854 232252  23997]]",5800,70,0.6,good,"[[397937 232024  24000]
 [397819 232380  23996]]"
3,1,1.0,1.0,1.0,864691135552841025,2,"[[403332 227545  24398]
 [403566 227614  24425]]",5800,70,0.6,good,"[[403107 227471  24423]
 [403714 227758  24417]]"
4,1,0.0,0.0,,864691135516937065,2,"[[ 77262 113088  20442]
 [ 79178 109116  20402]]",5800,70,0.6,good,"[[ 77953 112098  20405]
 [ 79745 109341  20411]]"
5,1,0.0,0.0,,864691134406233920,2,"[[100475 143982  21654]
 [100583 144194  21702]]",5800,70,0.6,good,"[[100772 144820  21653]
 [100997 144064  21666]]"
6,1,1.0,1.0,1.0,864691134330810585,2,"[[ 71898 146194  20442]
 [ 71499 146291  20404]]",5800,70,0.6,good,"[[ 71930 146126  20441]
 [ 71408 146304  20403]]"
7,1,0.6666666666666666,0.4,0.5,864691135337564242,5,"[[ 78610 145071  20707]
 [ 75884 143590  20453]
 [ 78226 151636  19714]
 [ 66549 151567  19790]
 [ 78090 150130  20388]]",5800,70,0.6,good,"[[ 75808 143429  20454]
 [ 78646 145004  20707]
 [ 77500 146666  20454]]"
8,1,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",5800,70,0.6,good,"[[ 77952 100682  21237]
 [ 77338 106419  21250]
 [ 77295 107823  21215]
 [ 76782  99744  21203]
 [ 77358 106374  21254]]"
9,1,0.5,0.3333333333333333,0.4,864691135730780609,3,"[[ 79785 135709  21133]
 [ 84176 127514  21582]
 [ 80523 134733  21498]]",5800,70,0.6,good,"[[ 84350 127341  21582]
 [ 81330 134616  21453]]"
10,1,0.0,0.0,,864691135651129491,2,"[[ 81198 106660  21133]
 [ 88864  99498  20482]]",5800,70,0.6,good,"[[ 88704  99704  20555]
 [ 80892 106264  21181]]"
11,1,1.0,1.0,1.0,864691133692934758,2,"[[ 77826 139204  21137]
 [ 77790 139215  21140]]",5800,70,0.6,good,"[[ 77688 139177  21138]
 [ 77895 139188  21134]]"
