,index,run,precision,recall,f1,seg_id,num_endpoints,endpoints,invalidation_d,num_humfrey_iters,decimation_factor,comments,proposed_endpoints
0,0,2,1.0,1.0,1.0,864691135909994000,2,"[[402584 228856  23991]
 [402985 229235  23554]]",5600,125,0.6,good,"[[402990 229222  23552]
 [402567 228758  23991]]"
1,1,2,1.0,1.0,1.0,864691135247440303,3,"[[401612 224623  23991]
 [405257 226318  23620]
 [409162 219642  23891]]",5600,125,0.6,good,"[[401506 224664  23990]
 [409143 219355  23868]
 [405021 226754  23620]]"
2,2,2,1.0,1.0,1.0,864691135314714227,2,"[[397867 232230  23999]
 [397854 232252  23997]]",5600,125,0.6,good,"[[397931 232013  24000]
 [397815 232393  23996]]"
3,3,2,1.0,1.0,1.0,864691135552841025,2,"[[403332 227545  24398]
 [403566 227614  24425]]",5600,125,0.6,good,"[[403093 227475  24424]
 [403709 227788  24419]]"
4,4,2,0.5,0.5,0.5,864691135516937065,2,"[[ 77262 113088  20442]
 [ 79178 109116  20402]]",5600,125,0.6,good,"[[ 79741 109355  20411]
 [ 77219 113156  20441]]"
5,5,2,0.0,0.0,,864691134406233920,2,"[[100475 143982  21654]
 [100583 144194  21702]]",5600,125,0.6,good,"[[100979 144058  21663]
 [100780 144830  21653]]"
6,6,2,1.0,1.0,1.0,864691134330810585,2,"[[ 71898 146194  20442]
 [ 71499 146291  20404]]",5600,125,0.6,good,"[[ 71940 146124  20442]
 [ 71396 146315  20402]]"
7,7,2,0.6666666666666666,0.4,0.5,864691135337564242,5,"[[ 78610 145071  20707]
 [ 75884 143590  20453]
 [ 78226 151636  19714]
 [ 66549 151567  19790]
 [ 78090 150130  20388]]",5600,125,0.6,good,"[[ 77534 146657  20452]
 [ 78650 144989  20707]
 [ 75803 143440  20452]]"
8,8,2,0.3333333333333333,0.5,0.4,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",5600,125,0.6,good,"[[ 77634 100654  21244]
 [ 77302 107840  21215]
 [ 76778  99747  21202]]"
9,9,2,0.5,0.3333333333333333,0.4,864691135730780609,3,"[[ 79785 135709  21133]
 [ 84176 127514  21582]
 [ 80523 134733  21498]]",5600,125,0.6,good,"[[ 84330 127313  21582]
 [ 81341 134580  21454]]"
