,run,precision,recall,f1,seg_id,num_endpoints,endpoints,invalidation_d,num_humfrey_iters,decimation_factor,comments,proposed_endpoints
0,3,1.0,1.0,1.0,864691135909994000,2,"[[402584 228856  23991]
 [402985 229235  23554]]",5600,125,0.7,good,"[[402567 228758  23991]
 [402990 229222  23552]]"
1,3,1.0,1.0,1.0,864691135247440303,3,"[[401612 224623  23991]
 [405257 226318  23620]
 [409162 219642  23891]]",5600,125,0.7,good,"[[401506 224664  23990]
 [405022 226754  23620]
 [409154 219371  23868]]"
2,3,1.0,1.0,1.0,864691135314714227,2,"[[397867 232230  23999]
 [397854 232252  23997]]",5600,125,0.7,good,"[[397815 232393  23996]
 [397930 232013  24000]]"
3,3,1.0,1.0,1.0,864691135552841025,2,"[[403332 227545  24398]
 [403566 227614  24425]]",5600,125,0.7,good,"[[403092 227477  24424]
 [403709 227788  24419]]"
4,3,0.5,0.5,0.5,864691135516937065,2,"[[ 77262 113088  20442]
 [ 79178 109116  20402]]",5600,125,0.7,good,"[[ 77219 113156  20441]
 [ 79741 109355  20411]]"
5,3,0.0,0.0,,864691134406233920,2,"[[100475 143982  21654]
 [100583 144194  21702]]",5600,125,0.7,good,"[[100782 144831  21653]
 [101004 144067  21666]]"
6,3,1.0,1.0,1.0,864691134330810585,2,"[[ 71898 146194  20442]
 [ 71499 146291  20404]]",5600,125,0.7,good,"[[ 71403 146316  20402]
 [ 71940 146124  20442]]"
7,3,0.6666666666666670,0.4,0.5,864691135337564242,5,"[[ 78610 145071  20707]
 [ 75884 143590  20453]
 [ 78226 151636  19714]
 [ 66549 151567  19790]
 [ 78090 150130  20388]]",5600,125,0.7,good,"[[ 75808 143427  20454]
 [ 77495 146675  20453]
 [ 78650 144989  20707]]"
8,3,0.5,0.5,0.5,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",5600,125,0.7,good,"[[ 76778  99747  21202]
 [ 77302 107840  21215]]"
9,3,0.5,0.3333333333333330,0.4,864691135730780609,3,"[[ 79785 135709  21133]
 [ 84176 127514  21582]
 [ 80523 134733  21498]]",5600,125,0.7,good,"[[ 81339 134583  21454]
 [ 84323 127313  21582]]"
10,3,0.5,0.5,0.5,864691135651129491,2,"[[ 81198 106660  21133]
 [ 88864  99498  20482]]",5600,125,0.7,good,"[[ 80831 106306  21177]
 [ 88871  99471  20481]]"
11,3,1.0,1.0,1.0,864691133692934758,2,"[[ 77826 139204  21137]
 [ 77790 139215  21140]]",5600,125,0.7,good,"[[ 77680 139184  21140]
 [ 77866 139210  21133]]"
12,3,1.0,1.0,1.0,864691133097965890,2,"[[ 79165 133413  20708]
 [ 79077 133479  20677]]",5600,125,0.7,good,"[[ 79031 133454  20675]
 [ 79184 133417  20708]]"
13,3,0.0,0.0,,864691134918217423,2,"[[ 75409 116393  21135]
 [ 74841 116076  21217]]",5600,125,0.7,good,"[[ 74979 116567  21178]
 [ 75844 115967  21151]]"
14,3,1.0,1.0,1.0,864691133712131152,2,"[[ 84508 142994  20724]
 [ 84551 142973  20722]]",5600,125,0.7,good,"[[ 84411 143070  20723]
 [ 84685 142907  20722]]"
15,3,1.0,1.0,1.0,864691135559405139,2,"[[212020 200330  23231]
 [212535 200478  23228]]",5600,125,0.7,good,"[[211997 200322  23231]
 [212514 200469  23226]]"
16,3,0.3333333333333330,0.5,0.4,864691135537360703,2,"[[167695 211664  20725]
 [145921 225039  22976]]",5600,125,0.7,good,"[[145718 224993  22957]
 [152728 222022  22419]
 [166662 211498  20784]]"
17,3,0.5,0.5,0.5,864691134472630080,2,"[[351150 143681  15176]
 [348147 144970  14850]]",5600,125,0.7,good,"[[348707 145217  14892]
 [351103 143484  15147]]"
18,3,0.0,0.0,0.0,864691133678427777,2,"[[344600 142349  16939]
 [344592 142335  16937]]",5600,125,0.7,good,nan
19,3,1.0,1.0,1.0,864691133922173572,2,"[[365649 143596  17209]
 [365939 143556  17266]]",5600,125,0.7,good,"[[365769 143569  17209]
 [366000 143552  17266]]"
20,3,1.0,1.0,1.0,864691134865499607,2,"[[366719 138890  16417]
 [367885 138975  16518]]",5600,125,0.7,good,"[[366625 138909  16416]
 [368166 139332  16508]]"
21,3,0.0,0.0,,864691134742288112,2,"[[353411 147608  15177]
 [352169 149000  14848]]",5600,125,0.7,good,"[[351982 148665  14925]
 [353871 147292  15173]]"
22,3,0.5,0.3333333333333330,0.4,864691135105077237,3,"[[366292 145971  16282]
 [365559 146710  16237]
 [366729 146323  16252]]",5600,125,0.7,good,"[[365946 146920  16264]
 [366874 146430  16252]]"
23,3,0.0,0.0,0.0,864691133766052845,2,"[[364450 138585  16225]
 [364459 138583  16224]]",5600,125,0.7,good,nan
24,3,0.5,0.5,0.5,864691135106856437,2,"[[368040 143694  16594]
 [369126 143559  16661]]",5600,125,0.7,good,"[[367735 143733  16594]
 [369882 143414  16636]]"
25,3,0.3333333333333330,0.5,0.4,864691135701215880,2,"[[101795 247367  19549]
 [ 97049 240061  20592]]",5600,125,0.7,good,"[[ 96727 239718  20486]
 [101475 246515  19584]
 [101824 247391  19548]]"
26,3,1.0,1.0,1.0,864691134282775283,2,"[[ 92574 255351  20402]
 [ 92241 255519  20432]]",5600,125,0.7,good,"[[ 92116 255502  20431]
 [ 92706 255329  20400]]"
27,3,1.0,1.0,1.0,864691135467651075,2,"[[114532 262237  21456]
 [117327 266080  21565]]",5600,125,0.7,good,"[[114453 262180  21459]
 [117307 266092  21563]]"
