,run,precision,recall,f1,seg_id,num_endpoints,endpoints,invalidation_d,num_humfrey_iters,decimation_factor,comments,proposed_endpoints
0,1,0.25,0.5,0.3333333333333333,864691135319600870,2,"[[106608 111803  20796]
 [ 98290  97555  21045]]",4000,0,0.31,good,"[[104879 104417  20465]
 [106905 111662  20737]
 [ 98222  97529  21045]
 [106632 109667  20734]]"
1,2,0.25,0.5,0.3333333333333333,864691135319600870,2,"[[106608 111803  20796]
 [ 98290  97555  21045]]",4000,0,0.36444444444444446,good,"[[104879 104417  20465]
 [106905 111662  20737]
 [ 98222  97529  21045]
 [106632 109667  20734]]"
2,3,0.25,0.5,0.3333333333333333,864691135319600870,2,"[[106608 111803  20796]
 [ 98290  97555  21045]]",4000,0,0.41888888888888887,good,"[[104879 104417  20465]
 [106905 111662  20737]
 [ 98222  97529  21045]
 [106632 109667  20734]]"
3,4,0.25,0.5,0.3333333333333333,864691135319600870,2,"[[106608 111803  20796]
 [ 98290  97555  21045]]",4000,0,0.47333333333333333,good,"[[104879 104417  20465]
 [106905 111662  20737]
 [ 98222  97529  21045]
 [106632 109667  20734]]"
4,5,0.25,0.5,0.3333333333333333,864691135319600870,2,"[[106608 111803  20796]
 [ 98290  97555  21045]]",4000,0,0.5277777777777778,good,"[[104879 104417  20465]
 [106905 111662  20737]
 [ 98222  97529  21045]
 [106632 109667  20734]]"
5,6,0.25,0.5,0.3333333333333333,864691135319600870,2,"[[106608 111803  20796]
 [ 98290  97555  21045]]",4000,0,0.5822222222222222,good,"[[104879 104417  20465]
 [106905 111662  20737]
 [ 98222  97529  21045]
 [106632 109667  20734]]"
6,7,0.25,0.5,0.3333333333333333,864691135319600870,2,"[[106608 111803  20796]
 [ 98290  97555  21045]]",4000,0,0.6366666666666667,good,"[[104879 104417  20465]
 [106905 111662  20737]
 [ 98222  97529  21045]
 [106632 109667  20734]]"
7,8,0.25,0.5,0.3333333333333333,864691135319600870,2,"[[106608 111803  20796]
 [ 98290  97555  21045]]",4000,0,0.6911111111111111,good,"[[104879 104417  20465]
 [106905 111662  20737]
 [ 98222  97529  21045]
 [106632 109667  20734]]"
8,9,0.25,0.5,0.3333333333333333,864691135319600870,2,"[[106608 111803  20796]
 [ 98290  97555  21045]]",4000,0,0.7455555555555555,good,"[[104879 104417  20465]
 [106905 111662  20737]
 [ 98222  97529  21045]
 [106632 109667  20734]]"
9,10,0.25,0.5,0.3333333333333333,864691135319600870,2,"[[106608 111803  20796]
 [ 98290  97555  21045]]",4000,0,0.8,good,"[[104879 104417  20465]
 [106905 111662  20737]
 [ 98222  97529  21045]
 [106632 109667  20734]]"
10,11,0.25,0.5,0.3333333333333333,864691135319600870,2,"[[106608 111803  20796]
 [ 98290  97555  21045]]",4000,25,0.31,good,"[[104882 104419  20465]
 [ 98255  97522  21044]
 [106899 111656  20738]
 [106631 109679  20734]]"
11,12,0.25,0.5,0.3333333333333333,864691135319600870,2,"[[106608 111803  20796]
 [ 98290  97555  21045]]",4000,25,0.36444444444444446,good,"[[104882 104419  20465]
 [ 98255  97522  21044]
 [106899 111656  20738]
 [106631 109679  20734]]"
12,13,0.25,0.5,0.3333333333333333,864691135319600870,2,"[[106608 111803  20796]
 [ 98290  97555  21045]]",4000,25,0.41888888888888887,good,"[[104882 104419  20465]
 [ 98255  97522  21044]
 [106899 111656  20738]
 [106631 109679  20734]]"
13,14,0.25,0.5,0.3333333333333333,864691135319600870,2,"[[106608 111803  20796]
 [ 98290  97555  21045]]",4000,25,0.47333333333333333,good,"[[104882 104419  20465]
 [ 98255  97522  21044]
 [106899 111656  20738]
 [106631 109679  20734]]"
14,15,0.25,0.5,0.3333333333333333,864691135319600870,2,"[[106608 111803  20796]
 [ 98290  97555  21045]]",4000,25,0.5277777777777778,good,"[[104882 104419  20465]
 [ 98255  97522  21044]
 [106899 111656  20738]
 [106631 109679  20734]]"
15,16,0.25,0.5,0.3333333333333333,864691135319600870,2,"[[106608 111803  20796]
 [ 98290  97555  21045]]",4000,25,0.5822222222222222,good,"[[104882 104419  20465]
 [ 98255  97522  21044]
 [106899 111656  20738]
 [106631 109679  20734]]"
16,17,0.25,0.5,0.3333333333333333,864691135319600870,2,"[[106608 111803  20796]
 [ 98290  97555  21045]]",4000,25,0.6366666666666667,good,"[[104882 104419  20465]
 [ 98255  97522  21044]
 [106899 111656  20738]
 [106631 109679  20734]]"
17,18,0.25,0.5,0.3333333333333333,864691135319600870,2,"[[106608 111803  20796]
 [ 98290  97555  21045]]",4000,25,0.6911111111111111,good,"[[104882 104419  20465]
 [ 98255  97522  21044]
 [106899 111656  20738]
 [106631 109679  20734]]"
18,19,0.25,0.5,0.3333333333333333,864691135319600870,2,"[[106608 111803  20796]
 [ 98290  97555  21045]]",4000,25,0.7455555555555555,good,"[[104882 104419  20465]
 [ 98255  97522  21044]
 [106899 111656  20738]
 [106631 109679  20734]]"
19,20,0.25,0.5,0.3333333333333333,864691135319600870,2,"[[106608 111803  20796]
 [ 98290  97555  21045]]",4000,25,0.8,good,"[[104882 104419  20465]
 [ 98255  97522  21044]
 [106899 111656  20738]
 [106631 109679  20734]]"
20,21,0.25,0.5,0.3333333333333333,864691135319600870,2,"[[106608 111803  20796]
 [ 98290  97555  21045]]",4000,50,0.31,good,"[[104882 104419  20465]
 [ 98255  97522  21044]
 [106899 111656  20738]
 [106630 109679  20734]]"
21,22,0.25,0.5,0.3333333333333333,864691135319600870,2,"[[106608 111803  20796]
 [ 98290  97555  21045]]",4000,50,0.36444444444444446,good,"[[104882 104419  20465]
 [ 98255  97522  21044]
 [106899 111656  20738]
 [106630 109679  20734]]"
22,23,0.25,0.5,0.3333333333333333,864691135319600870,2,"[[106608 111803  20796]
 [ 98290  97555  21045]]",4000,50,0.41888888888888887,good,"[[104882 104419  20465]
 [ 98255  97522  21044]
 [106899 111656  20738]
 [106630 109679  20734]]"
23,24,0.25,0.5,0.3333333333333333,864691135319600870,2,"[[106608 111803  20796]
 [ 98290  97555  21045]]",4000,50,0.47333333333333333,good,"[[104882 104419  20465]
 [ 98255  97522  21044]
 [106899 111656  20738]
 [106630 109679  20734]]"
24,25,0.25,0.5,0.3333333333333333,864691135319600870,2,"[[106608 111803  20796]
 [ 98290  97555  21045]]",4000,50,0.5277777777777778,good,"[[104882 104419  20465]
 [ 98255  97522  21044]
 [106899 111656  20738]
 [106630 109679  20734]]"
25,26,0.25,0.5,0.3333333333333333,864691135319600870,2,"[[106608 111803  20796]
 [ 98290  97555  21045]]",4000,50,0.5822222222222222,good,"[[104882 104419  20465]
 [ 98255  97522  21044]
 [106899 111656  20738]
 [106630 109679  20734]]"
26,27,0.25,0.5,0.3333333333333333,864691135319600870,2,"[[106608 111803  20796]
 [ 98290  97555  21045]]",4000,50,0.6366666666666667,good,"[[104882 104419  20465]
 [ 98255  97522  21044]
 [106899 111656  20738]
 [106630 109679  20734]]"
27,28,0.25,0.5,0.3333333333333333,864691135319600870,2,"[[106608 111803  20796]
 [ 98290  97555  21045]]",4000,50,0.6911111111111111,good,"[[104882 104419  20465]
 [ 98255  97522  21044]
 [106899 111656  20738]
 [106630 109679  20734]]"
28,29,0.25,0.5,0.3333333333333333,864691135319600870,2,"[[106608 111803  20796]
 [ 98290  97555  21045]]",4000,50,0.7455555555555555,good,"[[104882 104419  20465]
 [ 98255  97522  21044]
 [106899 111656  20738]
 [106630 109679  20734]]"
29,30,0.25,0.5,0.3333333333333333,864691135319600870,2,"[[106608 111803  20796]
 [ 98290  97555  21045]]",4000,50,0.8,good,"[[104882 104419  20465]
 [ 98255  97522  21044]
 [106899 111656  20738]
 [106630 109679  20734]]"
30,31,0.25,0.5,0.3333333333333333,864691135319600870,2,"[[106608 111803  20796]
 [ 98290  97555  21045]]",4000,75,0.31,good,"[[104882 104419  20465]
 [ 98255  97522  21044]
 [106899 111656  20738]
 [106630 109679  20734]]"
31,32,0.25,0.5,0.3333333333333333,864691135319600870,2,"[[106608 111803  20796]
 [ 98290  97555  21045]]",4000,75,0.36444444444444446,good,"[[104882 104419  20465]
 [ 98255  97522  21044]
 [106899 111656  20738]
 [106630 109679  20734]]"
32,33,0.25,0.5,0.3333333333333333,864691135319600870,2,"[[106608 111803  20796]
 [ 98290  97555  21045]]",4000,75,0.41888888888888887,good,"[[104882 104419  20465]
 [ 98255  97522  21044]
 [106899 111656  20738]
 [106630 109679  20734]]"
33,34,0.25,0.5,0.3333333333333333,864691135319600870,2,"[[106608 111803  20796]
 [ 98290  97555  21045]]",4000,75,0.47333333333333333,good,"[[104882 104419  20465]
 [ 98255  97522  21044]
 [106899 111656  20738]
 [106630 109679  20734]]"
34,35,0.25,0.5,0.3333333333333333,864691135319600870,2,"[[106608 111803  20796]
 [ 98290  97555  21045]]",4000,75,0.5277777777777778,good,"[[104882 104419  20465]
 [ 98255  97522  21044]
 [106899 111656  20738]
 [106630 109679  20734]]"
35,36,0.25,0.5,0.3333333333333333,864691135319600870,2,"[[106608 111803  20796]
 [ 98290  97555  21045]]",4000,75,0.5822222222222222,good,"[[104882 104419  20465]
 [ 98255  97522  21044]
 [106899 111656  20738]
 [106630 109679  20734]]"
36,37,0.25,0.5,0.3333333333333333,864691135319600870,2,"[[106608 111803  20796]
 [ 98290  97555  21045]]",4000,75,0.6366666666666667,good,"[[104882 104419  20465]
 [ 98255  97522  21044]
 [106899 111656  20738]
 [106630 109679  20734]]"
37,38,0.25,0.5,0.3333333333333333,864691135319600870,2,"[[106608 111803  20796]
 [ 98290  97555  21045]]",4000,75,0.6911111111111111,good,"[[104882 104419  20465]
 [ 98255  97522  21044]
 [106899 111656  20738]
 [106630 109679  20734]]"
38,39,0.25,0.5,0.3333333333333333,864691135319600870,2,"[[106608 111803  20796]
 [ 98290  97555  21045]]",4000,75,0.7455555555555555,good,"[[104882 104419  20465]
 [ 98255  97522  21044]
 [106899 111656  20738]
 [106630 109679  20734]]"
39,40,0.25,0.5,0.3333333333333333,864691135319600870,2,"[[106608 111803  20796]
 [ 98290  97555  21045]]",4000,75,0.8,good,"[[104882 104419  20465]
 [ 98255  97522  21044]
 [106899 111656  20738]
 [106630 109679  20734]]"
