,run,precision,recall,f1,seg_id,num_endpoints,endpoints,invalidation_d,num_humfrey_iters,decimation_factor,comments,proposed_endpoints
0,1,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,0,0.31,good,"[[ 99975 172352  18832]
 [100590 173439  18528]
 [102558 175749  18514]]"
1,2,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,0,0.36444444444444400,good,"[[ 99975 172352  18832]
 [100590 173439  18528]
 [102558 175749  18514]]"
2,3,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,0,0.41888888888888900,good,"[[ 99975 172352  18832]
 [100590 173439  18528]
 [102558 175749  18514]]"
3,4,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,0,0.47333333333333300,good,"[[ 99975 172352  18832]
 [100590 173439  18528]
 [102558 175749  18514]]"
4,5,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,0,0.5277777777777780,good,"[[ 99975 172352  18832]
 [100590 173439  18528]
 [102558 175749  18514]]"
5,6,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,0,0.5822222222222220,good,"[[ 99975 172352  18832]
 [100590 173439  18528]
 [102558 175749  18514]]"
6,7,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,0,0.6366666666666670,good,"[[ 99975 172352  18832]
 [100590 173439  18528]
 [102558 175749  18514]]"
7,8,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,0,0.6911111111111110,good,"[[ 99975 172352  18832]
 [100590 173439  18528]
 [102558 175749  18514]]"
8,9,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,0,0.7455555555555560,good,"[[ 99975 172352  18832]
 [100590 173439  18528]
 [102558 175749  18514]]"
9,10,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,0,0.8,good,"[[ 99975 172352  18832]
 [100590 173439  18528]
 [102558 175749  18514]]"
10,11,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,25,0.31,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
11,12,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,25,0.36444444444444400,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
12,13,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,25,0.41888888888888900,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
13,14,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,25,0.47333333333333300,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
14,15,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,25,0.5277777777777780,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
15,16,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,25,0.5822222222222220,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
16,17,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,25,0.6366666666666670,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
17,18,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,25,0.6911111111111110,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
18,19,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,25,0.7455555555555560,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
19,20,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,25,0.8,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
20,21,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,50,0.31,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
21,22,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,50,0.36444444444444400,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
22,23,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,50,0.41888888888888900,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
23,24,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,50,0.47333333333333300,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
24,25,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,50,0.5277777777777780,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
25,26,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,50,0.5822222222222220,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
26,27,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,50,0.6366666666666670,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
27,28,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,50,0.6911111111111110,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
28,29,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,50,0.7455555555555560,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
29,30,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,50,0.8,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
30,31,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,75,0.31,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
31,32,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,75,0.36444444444444400,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
32,33,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,75,0.41888888888888900,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
33,34,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,75,0.47333333333333300,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
34,35,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,75,0.5277777777777780,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
35,36,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,75,0.5822222222222220,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
36,37,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,75,0.6366666666666670,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
37,38,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,75,0.6911111111111110,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
38,39,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,75,0.7455555555555560,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
39,40,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,75,0.8,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
40,41,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,100,0.31,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
41,42,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,100,0.36444444444444400,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
42,43,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,100,0.41888888888888900,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
43,44,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,100,0.47333333333333300,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
44,45,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,100,0.5277777777777780,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
