,run,precision,recall,f1,seg_id,num_endpoints,endpoints,invalidation_d,cube_side_len,decimation_factor,comments,proposed_endpoints
0,1,0.21428571428571427,1.0,0.35294117647058826,864691135489218668,3,"[[127745 180987  21829]
 [127799 168227  22142]
 [145826 168883  22019]]",4000,400,0.31,good,"[[145750 169050  22015]
 [127550 180850  21825]
 [137450 174250  22535]
 [140650 171350  22535]
 [129750 173350  22125]
 [142850 167550  22275]
 [143650 168850  22405]
 [137850 173650  22525]
 [129550 176650  22125]
 [145150 169050  22135]
 [127750 175550  22305]
 [138450 174550  22395]
 [129350 178250  22225]
 [127650 168150  22135]]"
1,2,0.21428571428571427,1.0,0.35294117647058826,864691135489218668,3,"[[127745 180987  21829]
 [127799 168227  22142]
 [145826 168883  22019]]",4000,400,0.36444444444444446,good,"[[145750 169050  22015]
 [127550 180850  21825]
 [137450 174250  22535]
 [140650 171350  22535]
 [129750 173350  22125]
 [142850 167550  22275]
 [143650 168850  22405]
 [137850 173650  22525]
 [129550 176650  22125]
 [145150 169050  22135]
 [127750 175550  22305]
 [138450 174550  22395]
 [129350 178250  22225]
 [127650 168150  22135]]"
2,3,0.21428571428571427,1.0,0.35294117647058826,864691135489218668,3,"[[127745 180987  21829]
 [127799 168227  22142]
 [145826 168883  22019]]",4000,400,0.41888888888888887,good,"[[145750 169050  22015]
 [127550 180850  21825]
 [137450 174250  22535]
 [140650 171350  22535]
 [129750 173350  22125]
 [142850 167550  22275]
 [143650 168850  22405]
 [137850 173650  22525]
 [129550 176650  22125]
 [145150 169050  22135]
 [127750 175550  22305]
 [138450 174550  22395]
 [129350 178250  22225]
 [127650 168150  22135]]"
3,4,0.21428571428571427,1.0,0.35294117647058826,864691135489218668,3,"[[127745 180987  21829]
 [127799 168227  22142]
 [145826 168883  22019]]",4000,400,0.47333333333333333,good,"[[145750 169050  22015]
 [127550 180850  21825]
 [137450 174250  22535]
 [140650 171350  22535]
 [129750 173350  22125]
 [142850 167550  22275]
 [143650 168850  22405]
 [137850 173650  22525]
 [129550 176650  22125]
 [145150 169050  22135]
 [127750 175550  22305]
 [138450 174550  22395]
 [129350 178250  22225]
 [127650 168150  22135]]"
4,5,0.21428571428571427,1.0,0.35294117647058826,864691135489218668,3,"[[127745 180987  21829]
 [127799 168227  22142]
 [145826 168883  22019]]",4000,400,0.5277777777777778,good,"[[145750 169050  22015]
 [127550 180850  21825]
 [137450 174250  22535]
 [140650 171350  22535]
 [129750 173350  22125]
 [142850 167550  22275]
 [143650 168850  22405]
 [137850 173650  22525]
 [129550 176650  22125]
 [145150 169050  22135]
 [127750 175550  22305]
 [138450 174550  22395]
 [129350 178250  22225]
 [127650 168150  22135]]"
5,6,0.21428571428571427,1.0,0.35294117647058826,864691135489218668,3,"[[127745 180987  21829]
 [127799 168227  22142]
 [145826 168883  22019]]",4000,400,0.5822222222222222,good,"[[145750 169050  22015]
 [127550 180850  21825]
 [137450 174250  22535]
 [140650 171350  22535]
 [129750 173350  22125]
 [142850 167550  22275]
 [143650 168850  22405]
 [137850 173650  22525]
 [129550 176650  22125]
 [145150 169050  22135]
 [127750 175550  22305]
 [138450 174550  22395]
 [129350 178250  22225]
 [127650 168150  22135]]"
6,7,0.21428571428571427,1.0,0.35294117647058826,864691135489218668,3,"[[127745 180987  21829]
 [127799 168227  22142]
 [145826 168883  22019]]",4000,400,0.6366666666666667,good,"[[145750 169050  22015]
 [127550 180850  21825]
 [137450 174250  22535]
 [140650 171350  22535]
 [129750 173350  22125]
 [142850 167550  22275]
 [143650 168850  22405]
 [137850 173650  22525]
 [129550 176650  22125]
 [145150 169050  22135]
 [127750 175550  22305]
 [138450 174550  22395]
 [129350 178250  22225]
 [127650 168150  22135]]"
7,8,0.21428571428571427,1.0,0.35294117647058826,864691135489218668,3,"[[127745 180987  21829]
 [127799 168227  22142]
 [145826 168883  22019]]",4000,400,0.6911111111111111,good,"[[145750 169050  22015]
 [127550 180850  21825]
 [137450 174250  22535]
 [140650 171350  22535]
 [129750 173350  22125]
 [142850 167550  22275]
 [143650 168850  22405]
 [137850 173650  22525]
 [129550 176650  22125]
 [145150 169050  22135]
 [127750 175550  22305]
 [138450 174550  22395]
 [129350 178250  22225]
 [127650 168150  22135]]"
8,9,0.21428571428571427,1.0,0.35294117647058826,864691135489218668,3,"[[127745 180987  21829]
 [127799 168227  22142]
 [145826 168883  22019]]",4000,400,0.7455555555555555,good,"[[145750 169050  22015]
 [127550 180850  21825]
 [137450 174250  22535]
 [140650 171350  22535]
 [129750 173350  22125]
 [142850 167550  22275]
 [143650 168850  22405]
 [137850 173650  22525]
 [129550 176650  22125]
 [145150 169050  22135]
 [127750 175550  22305]
 [138450 174550  22395]
 [129350 178250  22225]
 [127650 168150  22135]]"
9,10,0.21428571428571427,1.0,0.35294117647058826,864691135489218668,3,"[[127745 180987  21829]
 [127799 168227  22142]
 [145826 168883  22019]]",4000,400,0.8,good,"[[145750 169050  22015]
 [127550 180850  21825]
 [137450 174250  22535]
 [140650 171350  22535]
 [129750 173350  22125]
 [142850 167550  22275]
 [143650 168850  22405]
 [137850 173650  22525]
 [129550 176650  22125]
 [145150 169050  22135]
 [127750 175550  22305]
 [138450 174550  22395]
 [129350 178250  22225]
 [127650 168150  22135]]"
10,11,0.17647058823529413,1.0,0.3,864691135489218668,3,"[[127745 180987  21829]
 [127799 168227  22142]
 [145826 168883  22019]]",4000,450,0.31,good,"[[134043 174881  22449]
 [127518 180843  21819]
 [129318 178256  22246]
 [145968 169031  22010]
 [143156 167793  22460]
 [144956 169031  22134]
 [138431 174543  22404]
 [131793 175218  22426]
 [139218 172743  22505]
 [137193 174093  22539]
 [143606 168918  22415]
 [127743 168356  22179]
 [127743 175556  22303]
 [129543 176681  22123]
 [129543 173418  22123]
 [140681 171393  22539]
 [137868 173643  22528]]"
11,12,0.17647058823529413,1.0,0.3,864691135489218668,3,"[[127745 180987  21829]
 [127799 168227  22142]
 [145826 168883  22019]]",4000,450,0.36444444444444446,good,"[[134043 174881  22449]
 [127518 180843  21819]
 [129318 178256  22246]
 [145968 169031  22010]
 [143156 167793  22460]
 [144956 169031  22134]
 [138431 174543  22404]
 [131793 175218  22426]
 [139218 172743  22505]
 [137193 174093  22539]
 [143606 168918  22415]
 [127743 168356  22179]
 [127743 175556  22303]
 [129543 176681  22123]
 [129543 173418  22123]
 [140681 171393  22539]
 [137868 173643  22528]]"
12,13,0.17647058823529413,1.0,0.3,864691135489218668,3,"[[127745 180987  21829]
 [127799 168227  22142]
 [145826 168883  22019]]",4000,450,0.41888888888888887,good,"[[134043 174881  22449]
 [127518 180843  21819]
 [129318 178256  22246]
 [145968 169031  22010]
 [143156 167793  22460]
 [144956 169031  22134]
 [138431 174543  22404]
 [131793 175218  22426]
 [139218 172743  22505]
 [137193 174093  22539]
 [143606 168918  22415]
 [127743 168356  22179]
 [127743 175556  22303]
 [129543 176681  22123]
 [129543 173418  22123]
 [140681 171393  22539]
 [137868 173643  22528]]"
13,14,0.17647058823529413,1.0,0.3,864691135489218668,3,"[[127745 180987  21829]
 [127799 168227  22142]
 [145826 168883  22019]]",4000,450,0.47333333333333333,good,"[[134043 174881  22449]
 [127518 180843  21819]
 [129318 178256  22246]
 [145968 169031  22010]
 [143156 167793  22460]
 [144956 169031  22134]
 [138431 174543  22404]
 [131793 175218  22426]
 [139218 172743  22505]
 [137193 174093  22539]
 [143606 168918  22415]
 [127743 168356  22179]
 [127743 175556  22303]
 [129543 176681  22123]
 [129543 173418  22123]
 [140681 171393  22539]
 [137868 173643  22528]]"
14,15,0.17647058823529413,1.0,0.3,864691135489218668,3,"[[127745 180987  21829]
 [127799 168227  22142]
 [145826 168883  22019]]",4000,450,0.5277777777777778,good,"[[134043 174881  22449]
 [127518 180843  21819]
 [129318 178256  22246]
 [145968 169031  22010]
 [143156 167793  22460]
 [144956 169031  22134]
 [138431 174543  22404]
 [131793 175218  22426]
 [139218 172743  22505]
 [137193 174093  22539]
 [143606 168918  22415]
 [127743 168356  22179]
 [127743 175556  22303]
 [129543 176681  22123]
 [129543 173418  22123]
 [140681 171393  22539]
 [137868 173643  22528]]"
15,16,0.17647058823529413,1.0,0.3,864691135489218668,3,"[[127745 180987  21829]
 [127799 168227  22142]
 [145826 168883  22019]]",4000,450,0.5822222222222222,good,"[[134043 174881  22449]
 [127518 180843  21819]
 [129318 178256  22246]
 [145968 169031  22010]
 [143156 167793  22460]
 [144956 169031  22134]
 [138431 174543  22404]
 [131793 175218  22426]
 [139218 172743  22505]
 [137193 174093  22539]
 [143606 168918  22415]
 [127743 168356  22179]
 [127743 175556  22303]
 [129543 176681  22123]
 [129543 173418  22123]
 [140681 171393  22539]
 [137868 173643  22528]]"
16,17,0.17647058823529413,1.0,0.3,864691135489218668,3,"[[127745 180987  21829]
 [127799 168227  22142]
 [145826 168883  22019]]",4000,450,0.6366666666666667,good,"[[134043 174881  22449]
 [127518 180843  21819]
 [129318 178256  22246]
 [145968 169031  22010]
 [143156 167793  22460]
 [144956 169031  22134]
 [138431 174543  22404]
 [131793 175218  22426]
 [139218 172743  22505]
 [137193 174093  22539]
 [143606 168918  22415]
 [127743 168356  22179]
 [127743 175556  22303]
 [129543 176681  22123]
 [129543 173418  22123]
 [140681 171393  22539]
 [137868 173643  22528]]"
17,18,0.17647058823529413,1.0,0.3,864691135489218668,3,"[[127745 180987  21829]
 [127799 168227  22142]
 [145826 168883  22019]]",4000,450,0.6911111111111111,good,"[[134043 174881  22449]
 [127518 180843  21819]
 [129318 178256  22246]
 [145968 169031  22010]
 [143156 167793  22460]
 [144956 169031  22134]
 [138431 174543  22404]
 [131793 175218  22426]
 [139218 172743  22505]
 [137193 174093  22539]
 [143606 168918  22415]
 [127743 168356  22179]
 [127743 175556  22303]
 [129543 176681  22123]
 [129543 173418  22123]
 [140681 171393  22539]
 [137868 173643  22528]]"
18,19,0.17647058823529413,1.0,0.3,864691135489218668,3,"[[127745 180987  21829]
 [127799 168227  22142]
 [145826 168883  22019]]",4000,450,0.7455555555555555,good,"[[134043 174881  22449]
 [127518 180843  21819]
 [129318 178256  22246]
 [145968 169031  22010]
 [143156 167793  22460]
 [144956 169031  22134]
 [138431 174543  22404]
 [131793 175218  22426]
 [139218 172743  22505]
 [137193 174093  22539]
 [143606 168918  22415]
 [127743 168356  22179]
 [127743 175556  22303]
 [129543 176681  22123]
 [129543 173418  22123]
 [140681 171393  22539]
 [137868 173643  22528]]"
19,20,0.17647058823529413,1.0,0.3,864691135489218668,3,"[[127745 180987  21829]
 [127799 168227  22142]
 [145826 168883  22019]]",4000,450,0.8,good,"[[134043 174881  22449]
 [127518 180843  21819]
 [129318 178256  22246]
 [145968 169031  22010]
 [143156 167793  22460]
 [144956 169031  22134]
 [138431 174543  22404]
 [131793 175218  22426]
 [139218 172743  22505]
 [137193 174093  22539]
 [143606 168918  22415]
 [127743 168356  22179]
 [127743 175556  22303]
 [129543 176681  22123]
 [129543 173418  22123]
 [140681 171393  22539]
 [137868 173643  22528]]"
20,21,0.09090909090909091,0.6666666666666666,0.16,864691135489218668,3,"[[127745 180987  21829]
 [127799 168227  22142]
 [145826 168883  22019]]",4000,500,0.31,good,"[[129687 173437  22131]
 [130687 179187  22206]
 [127562 180812  21818]
 [129562 176687  22118]
 [137812 173687  22518]
 [144937 169062  22143]
 [145937 169062  22006]
 [130437 177062  22406]
 [134562 174937  22481]
 [140687 171312  22531]
 [129312 178312  22231]
 [143687 168812  22406]
 [137437 174187  22543]
 [138312 174562  22393]
 [139312 172562  22506]
 [140312 171437  22506]
 [129937 178437  22043]
 [134062 174937  22468]
 [130812 176062  22418]
 [127687 168562  22181]
 [127687 175562  22306]
 [131812 175187  22431]]"
21,22,0.09090909090909091,0.6666666666666666,0.16,864691135489218668,3,"[[127745 180987  21829]
 [127799 168227  22142]
 [145826 168883  22019]]",4000,500,0.36444444444444446,good,"[[129687 173437  22131]
 [130687 179187  22206]
 [127562 180812  21818]
 [129562 176687  22118]
 [137812 173687  22518]
 [144937 169062  22143]
 [145937 169062  22006]
 [130437 177062  22406]
 [134562 174937  22481]
 [140687 171312  22531]
 [129312 178312  22231]
 [143687 168812  22406]
 [137437 174187  22543]
 [138312 174562  22393]
 [139312 172562  22506]
 [140312 171437  22506]
 [129937 178437  22043]
 [134062 174937  22468]
 [130812 176062  22418]
 [127687 168562  22181]
 [127687 175562  22306]
 [131812 175187  22431]]"
22,23,0.09090909090909091,0.6666666666666666,0.16,864691135489218668,3,"[[127745 180987  21829]
 [127799 168227  22142]
 [145826 168883  22019]]",4000,500,0.41888888888888887,good,"[[129687 173437  22131]
 [130687 179187  22206]
 [127562 180812  21818]
 [129562 176687  22118]
 [137812 173687  22518]
 [144937 169062  22143]
 [145937 169062  22006]
 [130437 177062  22406]
 [134562 174937  22481]
 [140687 171312  22531]
 [129312 178312  22231]
 [143687 168812  22406]
 [137437 174187  22543]
 [138312 174562  22393]
 [139312 172562  22506]
 [140312 171437  22506]
 [129937 178437  22043]
 [134062 174937  22468]
 [130812 176062  22418]
 [127687 168562  22181]
 [127687 175562  22306]
 [131812 175187  22431]]"
23,24,0.09090909090909091,0.6666666666666666,0.16,864691135489218668,3,"[[127745 180987  21829]
 [127799 168227  22142]
 [145826 168883  22019]]",4000,500,0.47333333333333333,good,"[[129687 173437  22131]
 [130687 179187  22206]
 [127562 180812  21818]
 [129562 176687  22118]
 [137812 173687  22518]
 [144937 169062  22143]
 [145937 169062  22006]
 [130437 177062  22406]
 [134562 174937  22481]
 [140687 171312  22531]
 [129312 178312  22231]
 [143687 168812  22406]
 [137437 174187  22543]
 [138312 174562  22393]
 [139312 172562  22506]
 [140312 171437  22506]
 [129937 178437  22043]
 [134062 174937  22468]
 [130812 176062  22418]
 [127687 168562  22181]
 [127687 175562  22306]
 [131812 175187  22431]]"
24,25,0.09090909090909091,0.6666666666666666,0.16,864691135489218668,3,"[[127745 180987  21829]
 [127799 168227  22142]
 [145826 168883  22019]]",4000,500,0.5277777777777778,good,"[[129687 173437  22131]
 [130687 179187  22206]
 [127562 180812  21818]
 [129562 176687  22118]
 [137812 173687  22518]
 [144937 169062  22143]
 [145937 169062  22006]
 [130437 177062  22406]
 [134562 174937  22481]
 [140687 171312  22531]
 [129312 178312  22231]
 [143687 168812  22406]
 [137437 174187  22543]
 [138312 174562  22393]
 [139312 172562  22506]
 [140312 171437  22506]
 [129937 178437  22043]
 [134062 174937  22468]
 [130812 176062  22418]
 [127687 168562  22181]
 [127687 175562  22306]
 [131812 175187  22431]]"
25,26,0.09090909090909091,0.6666666666666666,0.16,864691135489218668,3,"[[127745 180987  21829]
 [127799 168227  22142]
 [145826 168883  22019]]",4000,500,0.5822222222222222,good,"[[129687 173437  22131]
 [130687 179187  22206]
 [127562 180812  21818]
 [129562 176687  22118]
 [137812 173687  22518]
 [144937 169062  22143]
 [145937 169062  22006]
 [130437 177062  22406]
 [134562 174937  22481]
 [140687 171312  22531]
 [129312 178312  22231]
 [143687 168812  22406]
 [137437 174187  22543]
 [138312 174562  22393]
 [139312 172562  22506]
 [140312 171437  22506]
 [129937 178437  22043]
 [134062 174937  22468]
 [130812 176062  22418]
 [127687 168562  22181]
 [127687 175562  22306]
 [131812 175187  22431]]"
26,27,0.09090909090909091,0.6666666666666666,0.16,864691135489218668,3,"[[127745 180987  21829]
 [127799 168227  22142]
 [145826 168883  22019]]",4000,500,0.6366666666666667,good,"[[129687 173437  22131]
 [130687 179187  22206]
 [127562 180812  21818]
 [129562 176687  22118]
 [137812 173687  22518]
 [144937 169062  22143]
 [145937 169062  22006]
 [130437 177062  22406]
 [134562 174937  22481]
 [140687 171312  22531]
 [129312 178312  22231]
 [143687 168812  22406]
 [137437 174187  22543]
 [138312 174562  22393]
 [139312 172562  22506]
 [140312 171437  22506]
 [129937 178437  22043]
 [134062 174937  22468]
 [130812 176062  22418]
 [127687 168562  22181]
 [127687 175562  22306]
 [131812 175187  22431]]"
27,28,0.09090909090909091,0.6666666666666666,0.16,864691135489218668,3,"[[127745 180987  21829]
 [127799 168227  22142]
 [145826 168883  22019]]",4000,500,0.6911111111111111,good,"[[129687 173437  22131]
 [130687 179187  22206]
 [127562 180812  21818]
 [129562 176687  22118]
 [137812 173687  22518]
 [144937 169062  22143]
 [145937 169062  22006]
 [130437 177062  22406]
 [134562 174937  22481]
 [140687 171312  22531]
 [129312 178312  22231]
 [143687 168812  22406]
 [137437 174187  22543]
 [138312 174562  22393]
 [139312 172562  22506]
 [140312 171437  22506]
 [129937 178437  22043]
 [134062 174937  22468]
 [130812 176062  22418]
 [127687 168562  22181]
 [127687 175562  22306]
 [131812 175187  22431]]"
28,29,0.09090909090909091,0.6666666666666666,0.16,864691135489218668,3,"[[127745 180987  21829]
 [127799 168227  22142]
 [145826 168883  22019]]",4000,500,0.7455555555555555,good,"[[129687 173437  22131]
 [130687 179187  22206]
 [127562 180812  21818]
 [129562 176687  22118]
 [137812 173687  22518]
 [144937 169062  22143]
 [145937 169062  22006]
 [130437 177062  22406]
 [134562 174937  22481]
 [140687 171312  22531]
 [129312 178312  22231]
 [143687 168812  22406]
 [137437 174187  22543]
 [138312 174562  22393]
 [139312 172562  22506]
 [140312 171437  22506]
 [129937 178437  22043]
 [134062 174937  22468]
 [130812 176062  22418]
 [127687 168562  22181]
 [127687 175562  22306]
 [131812 175187  22431]]"
29,30,0.09090909090909091,0.6666666666666666,0.16,864691135489218668,3,"[[127745 180987  21829]
 [127799 168227  22142]
 [145826 168883  22019]]",4000,500,0.8,good,"[[129687 173437  22131]
 [130687 179187  22206]
 [127562 180812  21818]
 [129562 176687  22118]
 [137812 173687  22518]
 [144937 169062  22143]
 [145937 169062  22006]
 [130437 177062  22406]
 [134562 174937  22481]
 [140687 171312  22531]
 [129312 178312  22231]
 [143687 168812  22406]
 [137437 174187  22543]
 [138312 174562  22393]
 [139312 172562  22506]
 [140312 171437  22506]
 [129937 178437  22043]
 [134062 174937  22468]
 [130812 176062  22418]
 [127687 168562  22181]
 [127687 175562  22306]
 [131812 175187  22431]]"
