,Unnamed: 0,closed,opened,duration,status,seg_id,created,ID,decision,score,assignee_masked
469,469,2022-01-03 15:25:29.708999936,2022-01-03 15:24:20.075000064,68.0,closed,864691135725642047,2021-12-30 13:29:06.153000000,0,no,1.0,1
470,470,2022-01-03 15:38:13.128000000,2022-01-03 15:30:20.956000000,470.0,closed,864691135725642047,2021-12-30 13:29:06.153000000,0,yes,0.0,2
471,471,2022-01-03 15:22:43.824999936,2022-01-03 14:30:59.647000064,58.0,closed,864691135725642047,2021-12-30 13:29:06.153000000,0,no,1.0,3
472,472,2022-01-03 15:21:44.276000000,2022-01-03 15:17:47.611000064,235.0,closed,864691135725642047,2021-12-30 13:29:06.153000000,0,no,1.0,4
473,473,2022-01-03 15:23:48.920999936,2022-01-03 15:18:52.494000128,216.0,closed,864691135725642047,2021-12-30 13:29:06.153000000,0,no,1.0,5
474,474,2022-01-03 15:24:17.990000128,2022-01-03 15:19:28.217999872,275.0,closed,864691135725642047,2021-12-30 13:29:06.153000000,0,no,1.0,6
475,475,2022-01-03 15:26:08.857999872,2022-01-03 15:18:14.614000128,436.0,closed,864691135725642047,2021-12-30 13:29:06.153000000,0,no,1.0,7
476,476,2022-01-03 15:25:55.159000064,2022-01-03 15:20:49.552000000,305.0,closed,864691135725642047,2021-12-30 13:29:06.153000000,0,no,1.0,8
477,477,2022-01-03 15:23:53.966000128,2022-01-03 15:22:03.459000064,109.0,closed,864691135725642047,2021-12-30 13:29:06.153000000,0,no,1.0,9
478,478,2022-01-03 15:28:35.542000128,2022-01-03 15:23:32.721999872,302.0,closed,864691135725642047,2021-12-30 13:29:06.153000000,0,no,1.0,10
479,479,2022-01-10 20:10:44.500000000,2022-01-10 20:03:46.891000064,416.0,closed,864691135725642047,2021-12-30 13:29:06.153000000,0,no,1.0,11
480,480,2022-01-03 17:12:20.523000064,2022-01-03 17:11:03.569999872,75.0,closed,864691135725642047,2021-12-30 13:29:06.153000000,0,no,1.0,12
481,481,2022-01-03 14:24:42.512999936,2022-01-03 14:20:10.929999872,270.0,closed,864691135725642047,2021-12-30 13:29:06.153000000,0,no,1.0,13
482,482,2022-01-04 19:53:39.046000128,2022-01-04 19:21:45.694000128,1911.0,closed,864691135725642047,2021-12-30 13:29:06.153000000,0,yesConditional,0.5,14
483,483,2022-01-03 15:36:08.887000064,2022-01-03 15:23:23.891000064,764.0,closed,864691135725642047,2021-12-30 13:29:06.153000000,0,no,1.0,15
484,484,2022-01-03 15:22:25.118000128,2022-01-03 15:19:12.855000064,188.0,closed,864691135725642047,2021-12-30 13:29:06.153000000,0,no,1.0,16
485,485,2022-01-03 15:29:09.646000128,2022-01-03 15:25:11.761999872,235.0,closed,864691135725642047,2021-12-30 13:29:06.153000000,0,no,1.0,17
486,486,2022-01-03 15:18:25.932000000,2022-01-03 14:32:01.431000064,60.0,closed,864691135725642047,2021-12-30 13:29:06.153000000,0,no,1.0,18
487,487,2022-01-03 15:24:03.492999936,2022-01-03 15:21:10.763000064,171.0,closed,864691135725642047,2021-12-30 13:29:06.153000000,0,no,1.0,19
488,488,2022-01-03 15:27:24.017999872,2022-01-03 15:22:35.403000064,244.0,closed,864691135725642047,2021-12-30 13:29:06.153000000,0,no,1.0,20
489,489,2022-01-03 14:28:03.256999936,2022-01-03 14:25:26.132999936,155.0,closed,864691135725642047,2021-12-30 13:29:06.153000000,0,no,1.0,21
490,490,2022-01-03 15:23:43.075000064,2022-01-03 15:21:26.110000128,137.0,closed,864691135725642047,2021-12-30 13:29:06.153000000,0,no,1.0,22
491,491,2022-01-03 14:24:37.544000000,2022-01-03 14:20:23.950000128,223.0,closed,864691135725642047,2021-12-30 13:29:06.153000000,0,no,1.0,23
492,492,2022-01-03 15:21:29.452999936,2022-01-03 15:19:28.734000128,119.0,closed,864691135725642047,2021-12-30 13:29:06.153000000,0,no,1.0,24
493,493,2022-01-03 15:27:53.000999936,2022-01-03 15:25:33.747000064,138.0,closed,864691136134428555,2021-12-30 13:29:06.945000000,2,yesConditional,0.5,1
494,494,2022-01-03 15:49:10.416999936,2022-01-03 15:38:20.988999936,640.0,closed,864691136134428555,2021-12-30 13:29:06.945000000,2,yes,1.0,2
495,495,2022-01-03 15:23:28.500999936,2022-01-03 15:22:47.507000064,39.0,closed,864691136134428555,2021-12-30 13:29:06.945000000,2,yes,1.0,3
