,Unnamed: 0,closed,opened,duration,status,seg_id,created,ID,decision,score,assignee_masked,unique_task_id,avg_opened_time
1775,1775,2022-01-05 16:43:36.924999936,1641400922748999936,93.0,closed,864691135081758967,2022-01-03 13:40:45.064000000,69,yes,1.0,1000,86469113508175896769,1.6409666987278856e+18
1260,1260,2022-01-03 16:33:39.580999936,1641227481499000064,137.0,closed,864691135081758967,2021-12-30 13:29:28.340000000,69,yes,1.0,24,86469113508175896769,1.6409666987278856e+18
1254,1254,2022-01-03 16:53:59.084999936,1641228530716999936,307.0,closed,864691135081758967,2021-12-30 13:29:28.340000000,69,yes,1.0,18,86469113508175896769,1.6409666987278856e+18
1240,1240,2022-01-03 16:29:07.783000064,1641227234460000000,112.0,closed,864691135081758967,2021-12-30 13:29:28.340000000,69,yes,1.0,4,86469113508175896769,1.6409666987278856e+18
1253,1253,2022-01-03 19:40:09.920999936,1641238627401999872,180.0,closed,864691135081758967,2021-12-30 13:29:28.340000000,69,yes,1.0,17,86469113508175896769,1.6409666987278856e+18
1252,1252,2022-01-03 16:52:47.417999872,1641228714840000000,52.0,closed,864691135081758967,2021-12-30 13:29:28.340000000,69,yes,1.0,16,86469113508175896769,1.6409666987278856e+18
1251,1251,2022-01-03 19:58:34.435000064,1641239825144000000,87.0,closed,864691135081758967,2021-12-30 13:29:28.340000000,69,yes,1.0,15,86469113508175896769,1.6409666987278856e+18
1710,1710,2022-01-03 16:25:09.891000064,1641226979979000064,128.0,closed,864691135081758967,2021-12-30 13:31:18.331000000,69,yes,1.0,26,86469113508175896769,1.6409666987278856e+18
1709,1709,2022-01-04 04:53:25.888000000,1641271931691000064,73.0,closed,864691135081758967,2021-12-30 13:31:18.331000000,69,yesConditional,0.5,25,86469113508175896769,1.6409666987278856e+18
1250,1250,2022-01-05 13:32:15.356999936,1641389422291000064,112.0,closed,864691135081758967,2021-12-30 13:29:28.340000000,69,yes,1.0,14,86469113508175896769,1.6409666987278856e+18
1249,1249,2022-01-03 16:52:51.476000000,1641228595940999936,174.0,closed,864691135081758967,2021-12-30 13:29:28.340000000,69,yesConditional,0.5,13,86469113508175896769,1.6409666987278856e+18
1248,1248,2022-01-03 20:29:15.632000000,1641241553446000128,201.0,closed,864691135081758967,2021-12-30 13:29:28.340000000,69,yes,1.0,12,86469113508175896769,1.6409666987278856e+18
1237,1237,2022-01-04 05:25:04.160000000,1641273827032999936,76.0,closed,864691135081758967,2021-12-30 13:29:28.340000000,69,yes,1.0,1,86469113508175896769,1.6409666987278856e+18
1255,1255,2022-01-03 17:12:26.276000000,1641229829676000000,115.0,closed,864691135081758967,2021-12-30 13:29:28.340000000,69,yes,1.0,19,86469113508175896769,1.6409666987278856e+18
1256,1256,2022-01-03 18:24:13.446000128,1641234164463000064,86.0,closed,864691135081758967,2021-12-30 13:29:28.340000000,69,yes,1.0,20,86469113508175896769,1.6409666987278856e+18
1241,1241,2022-01-03 18:22:55.611000064,1641234078368000000,95.0,closed,864691135081758967,2021-12-30 13:29:28.340000000,69,yes,1.0,5,86469113508175896769,1.6409666987278856e+18
1259,1259,2022-01-03 16:58:08.528000000,1641228949388999936,138.0,closed,864691135081758967,2021-12-30 13:29:28.340000000,69,yes,1.0,23,86469113508175896769,1.6409666987278856e+18
1242,1242,2022-01-03 18:20:40.871000064,1641233949340000000,90.0,closed,864691135081758967,2021-12-30 13:29:28.340000000,69,yes,1.0,6,86469113508175896769,1.6409666987278856e+18
1244,1244,2022-01-03 16:43:55.712999936,1641228155795000064,79.0,closed,864691135081758967,2021-12-30 13:29:28.340000000,69,yes,1.0,8,86469113508175896769,1.6409666987278856e+18
1245,1245,2022-01-03 16:35:20.308999936,1641227660921999872,59.0,closed,864691135081758967,2021-12-30 13:29:28.340000000,69,yes,1.0,9,86469113508175896769,1.6409666987278856e+18
1247,1247,2022-01-13 12:00:48.368999936,1642075199660000000,48.0,closed,864691135081758967,2021-12-30 13:29:28.340000000,69,yes,1.0,11,86469113508175896769,1.6409666987278856e+18
1243,1243,2022-01-03 16:35:00.279000064,1641227617976999936,81.0,closed,864691135081758967,2021-12-30 13:29:28.340000000,69,yesConditional,0.5,7,86469113508175896769,1.6409666987278856e+18
1246,1246,2022-01-03 19:22:39.163000064,1641237602779000064,155.0,closed,864691135081758967,2021-12-30 13:29:28.340000000,69,yes,1.0,10,86469113508175896769,1.6409666987278856e+18
1257,1257,2022-01-03 21:40:40.774000128,1641245836294000128,203.0,closed,864691135081758967,2021-12-30 13:29:28.340000000,69,yes,1.0,21,86469113508175896769,1.6409666987278856e+18
1239,1239,2022-01-03 16:53:10.819000064,1641228710376999936,80.0,closed,864691135081758967,2021-12-30 13:29:28.340000000,69,yes,1.0,3,86469113508175896769,1.6409666987278856e+18
1238,1238,2022-01-04 04:25:31.694000128,1641270281260000000,49.0,closed,864691135081758967,2021-12-30 13:29:28.340000000,69,yes,1.0,2,86469113508175896769,1.6409666987278856e+18
1258,1258,2022-01-03 18:35:29.345999872,1641234713790000128,215.0,closed,864691135081758967,2021-12-30 13:29:28.340000000,69,yesConditional,0.5,22,86469113508175896769,1.6409666987278856e+18
1291,1291,2022-01-03 16:37:24.068999936,1641227777899000064,65.0,closed,864691135577002245,2021-12-30 13:29:29.065000000,71,yesConditional,1.0,7,86469113557700224571,1.640967408846257e+18
1290,1290,2022-01-03 18:24:31.456000000,1641234146908000000,123.0,closed,864691135577002245,2021-12-30 13:29:29.065000000,71,yesConditional,1.0,6,86469113557700224571,1.640967408846257e+18
1289,1289,2022-01-03 18:28:33.136999936,1641234355665999872,156.0,closed,864691135577002245,2021-12-30 13:29:29.065000000,71,yesConditional,1.0,5,86469113557700224571,1.640967408846257e+18
1288,1288,2022-01-03 16:31:25.736999936,1641227373625999872,111.0,closed,864691135577002245,2021-12-30 13:29:29.065000000,71,errorNearby,0.5,4,86469113557700224571,1.640967408846257e+18
1287,1287,2022-01-03 16:56:48.804999936,1641228824196999936,184.0,closed,864691135577002245,2021-12-30 13:29:29.065000000,71,errorNearby,0.5,3,86469113557700224571,1.640967408846257e+18
1286,1286,2022-01-04 04:28:18.892999936,1641270439031000064,57.0,closed,864691135577002245,2021-12-30 13:29:29.065000000,71,yes,0.0,2,86469113557700224571,1.640967408846257e+18
1285,1285,2022-01-04 05:32:49.156000000,1641274000707000064,367.0,closed,864691135577002245,2021-12-30 13:29:29.065000000,71,yesConditional,1.0,1,86469113557700224571,1.640967408846257e+18
1297,1297,2022-01-03 16:57:15.785999872,1641228910995000064,124.0,closed,864691135577002245,2021-12-30 13:29:29.065000000,71,yesConditional,1.0,13,86469113557700224571,1.640967408846257e+18
1777,1777,2022-01-05 16:45:23.478000128,1641401075844999936,46.0,closed,864691135577002245,2022-01-03 13:40:45.165000000,71,yesConditional,1.0,1000,86469113557700224571,1.640967408846257e+18
1713,1713,2022-01-04 04:58:37.247000064,1641272268156000000,48.0,closed,864691135577002245,2021-12-30 13:31:18.486000000,71,yesConditional,1.0,25,86469113557700224571,1.640967408846257e+18
1714,1714,2022-01-03 16:27:45.312999936,1641227142884999936,121.0,closed,864691135577002245,2021-12-30 13:31:18.486000000,71,yesConditional,1.0,26,86469113557700224571,1.640967408846257e+18
1298,1298,2022-01-05 13:36:54.856000000,1641389724884999936,89.0,closed,864691135577002245,2021-12-30 13:29:29.065000000,71,yesConditional,1.0,14,86469113557700224571,1.640967408846257e+18
1299,1299,2022-01-03 20:09:40.964000000,1641240177816000000,402.0,closed,864691135577002245,2021-12-30 13:29:29.065000000,71,yes,0.0,15,86469113557700224571,1.640967408846257e+18
1300,1300,2022-01-03 16:56:45.225999872,1641228827630000128,176.0,closed,864691135577002245,2021-12-30 13:29:29.065000000,71,errorNearby,0.5,16,86469113557700224571,1.640967408846257e+18
1292,1292,2022-01-03 16:47:36.056000000,1641228301787000064,153.0,closed,864691135577002245,2021-12-30 13:29:29.065000000,71,yesConditional,1.0,8,86469113557700224571,1.640967408846257e+18
1293,1293,2022-01-03 16:38:56.684000000,1641227770540000000,165.0,closed,864691135577002245,2021-12-30 13:29:29.065000000,71,errorNearby,0.5,9,86469113557700224571,1.640967408846257e+18
1301,1301,2022-01-03 19:51:51.118000128,1641238903460000000,605.0,closed,864691135577002245,2021-12-30 13:29:29.065000000,71,yesConditional,1.0,17,86469113557700224571,1.640967408846257e+18
1296,1296,2022-01-03 22:05:42.627000064,1641247162097999872,379.0,closed,864691135577002245,2021-12-30 13:29:29.065000000,71,errorNearby,0.5,12,86469113557700224571,1.640967408846257e+18
1306,1306,2022-01-03 18:44:33.300999936,1641235023947000064,448.0,closed,864691135577002245,2021-12-30 13:29:29.065000000,71,errorNearby,0.5,22,86469113557700224571,1.640967408846257e+18
1307,1307,2022-01-03 18:31:48.107000064,1641234565950000128,141.0,closed,864691135577002245,2021-12-30 13:29:29.065000000,71,yesConditional,1.0,23,86469113557700224571,1.640967408846257e+18
1294,1294,2022-01-03 19:31:10.390000128,1641238038639000064,230.0,closed,864691135577002245,2021-12-30 13:29:29.065000000,71,yesConditional,1.0,10,86469113557700224571,1.640967408846257e+18
1308,1308,2022-01-03 16:37:51.699000064,1641227737972999936,132.0,closed,864691135577002245,2021-12-30 13:29:29.065000000,71,yesConditional,1.0,24,86469113557700224571,1.640967408846257e+18
1302,1302,2022-01-03 16:55:27.948999936,1641228884512999936,42.0,closed,864691135577002245,2021-12-30 13:29:29.065000000,71,yesConditional,1.0,18,86469113557700224571,1.640967408846257e+18
1303,1303,2022-01-03 17:26:26.196000000,1641230406404999936,379.0,closed,864691135577002245,2021-12-30 13:29:29.065000000,71,errorNearby,0.5,19,86469113557700224571,1.640967408846257e+18
1295,1295,2022-01-13 12:02:51.356999936,1642075306284000000,64.0,closed,864691135577002245,2021-12-30 13:29:29.065000000,71,errorNearby,0.5,11,86469113557700224571,1.640967408846257e+18
1305,1305,2022-01-03 23:04:34.817999872,1641250864392000000,209.0,closed,864691135577002245,2021-12-30 13:29:29.065000000,71,yesConditional,1.0,21,86469113557700224571,1.640967408846257e+18
1304,1304,2022-01-03 18:28:23.448999936,1641234370060000000,131.0,closed,864691135577002245,2021-12-30 13:29:29.065000000,71,yesConditional,1.0,20,86469113557700224571,1.640967408846257e+18
1325,1325,2022-01-03 19:55:41.865999872,1641239515068000000,225.0,closed,864691135945430052,2021-12-30 13:29:29.984000000,72,yesConditional,1.0,17,86469113594543005272,1.6409676185725427e+18
1778,1778,2022-01-05 16:46:20.772000000,1641401127164999936,52.0,closed,864691135945430052,2022-01-03 13:40:45.236000000,72,yesConditional,1.0,1000,86469113594543005272,1.6409676185725427e+18
1329,1329,2022-01-03 23:08:21.620000000,1641251079430000128,220.0,closed,864691135945430052,2021-12-30 13:29:29.984000000,72,yesConditional,1.0,21,86469113594543005272,1.6409676185725427e+18
1332,1332,2022-01-03 16:39:10.689999872,1641227874228999936,75.0,closed,864691135945430052,2021-12-30 13:29:29.984000000,72,yesConditional,1.0,24,86469113594543005272,1.6409676185725427e+18
1331,1331,2022-01-03 18:32:56.340999936,1641234711244000000,64.0,closed,864691135945430052,2021-12-30 13:29:29.984000000,72,yes,0.0,23,86469113594543005272,1.6409676185725427e+18
1330,1330,2022-01-03 18:55:28.889999872,1641235476193999872,651.0,closed,864691135945430052,2021-12-30 13:29:29.984000000,72,yesConditional,1.0,22,86469113594543005272,1.6409676185725427e+18
1326,1326,2022-01-03 16:58:47.363000064,1641228931216999936,195.0,closed,864691135945430052,2021-12-30 13:29:29.984000000,72,yesConditional,1.0,18,86469113594543005272,1.6409676185725427e+18
1328,1328,2022-01-03 18:31:23.832999936,1641234508022000128,172.0,closed,864691135945430052,2021-12-30 13:29:29.984000000,72,yesConditional,1.0,20,86469113594543005272,1.6409676185725427e+18
1311,1311,2022-01-03 16:58:29.296999936,1641229011849999872,96.0,closed,864691135945430052,2021-12-30 13:29:29.984000000,72,yes,0.0,3,86469113594543005272,1.6409676185725427e+18
1320,1320,2022-01-03 22:08:43.796000000,1641247547088000000,175.0,closed,864691135945430052,2021-12-30 13:29:29.984000000,72,yes,0.0,12,86469113594543005272,1.6409676185725427e+18
1313,1313,2022-01-03 18:30:36.052000000,1641234523174000128,112.0,closed,864691135945430052,2021-12-30 13:29:29.984000000,72,yes,0.0,5,86469113594543005272,1.6409676185725427e+18
1716,1716,2022-01-03 16:29:57.759000064,1641227269076999936,128.0,closed,864691135945430052,2021-12-30 13:31:18.588000000,72,yes,0.0,26,86469113594543005272,1.6409676185725427e+18
