,run,precision,recall,f1,seg_id,num_endpoints,endpoints,invalidation_d,num_laplacian_iters,decimation_factor,comments,proposed_endpoints
0,1,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,0,0.31,good,"[[ 77952 100674  21237]
 [ 77332 106417  21250]
 [ 76765  99760  21201]
 [ 77374 106375  21249]
 [ 77285 107835  21214]]"
1,2,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,0,0.36444444444444446,good,"[[ 77952 100674  21237]
 [ 77332 106417  21250]
 [ 76765  99760  21201]
 [ 77374 106375  21249]
 [ 77285 107835  21214]]"
2,3,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,0,0.41888888888888887,good,"[[ 77952 100674  21237]
 [ 77332 106417  21250]
 [ 76765  99760  21201]
 [ 77374 106375  21249]
 [ 77285 107835  21214]]"
3,4,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,0,0.47333333333333333,good,"[[ 77952 100674  21237]
 [ 77332 106417  21250]
 [ 76765  99760  21201]
 [ 77374 106375  21249]
 [ 77285 107835  21214]]"
4,5,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,0,0.5277777777777778,good,"[[ 77952 100674  21237]
 [ 77332 106417  21250]
 [ 76765  99760  21201]
 [ 77374 106375  21249]
 [ 77285 107835  21214]]"
5,6,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,0,0.5822222222222222,good,"[[ 77952 100674  21237]
 [ 77332 106417  21250]
 [ 76765  99760  21201]
 [ 77374 106375  21249]
 [ 77285 107835  21214]]"
6,7,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,0,0.6366666666666667,good,"[[ 77952 100674  21237]
 [ 77332 106417  21250]
 [ 76765  99760  21201]
 [ 77374 106375  21249]
 [ 77285 107835  21214]]"
7,8,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,0,0.6911111111111111,good,"[[ 77952 100674  21237]
 [ 77332 106417  21250]
 [ 76765  99760  21201]
 [ 77374 106375  21249]
 [ 77285 107835  21214]]"
8,9,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,0,0.7455555555555555,good,"[[ 77952 100674  21237]
 [ 77332 106417  21250]
 [ 76765  99760  21201]
 [ 77374 106375  21249]
 [ 77285 107835  21214]]"
9,10,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,0,0.8,good,"[[ 77952 100674  21237]
 [ 77332 106417  21250]
 [ 76765  99760  21201]
 [ 77374 106375  21249]
 [ 77285 107835  21214]]"
10,11,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,25,0.31,good,"[[ 77955 100680  21236]
 [ 77336 106420  21250]
 [ 77295 107822  21215]
 [ 76781  99744  21202]
 [ 77362 106372  21254]]"
11,12,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,25,0.36444444444444446,good,"[[ 77955 100680  21236]
 [ 77336 106420  21250]
 [ 77295 107822  21215]
 [ 76781  99744  21202]
 [ 77362 106372  21254]]"
12,13,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,25,0.41888888888888887,good,"[[ 77955 100680  21236]
 [ 77336 106420  21250]
 [ 77295 107822  21215]
 [ 76781  99744  21202]
 [ 77362 106372  21254]]"
13,14,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,25,0.47333333333333333,good,"[[ 77955 100680  21236]
 [ 77336 106420  21250]
 [ 77295 107822  21215]
 [ 76781  99744  21202]
 [ 77362 106372  21254]]"
14,15,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,25,0.5277777777777778,good,"[[ 77955 100680  21236]
 [ 77336 106420  21250]
 [ 77295 107822  21215]
 [ 76781  99744  21202]
 [ 77362 106372  21254]]"
15,16,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,25,0.5822222222222222,good,"[[ 77955 100680  21236]
 [ 77336 106420  21250]
 [ 77295 107822  21215]
 [ 76781  99744  21202]
 [ 77362 106372  21254]]"
16,17,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,25,0.6366666666666667,good,"[[ 77955 100680  21236]
 [ 77336 106420  21250]
 [ 77295 107822  21215]
 [ 76781  99744  21202]
 [ 77362 106372  21254]]"
17,18,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,25,0.6911111111111111,good,"[[ 77955 100680  21236]
 [ 77336 106420  21250]
 [ 77295 107822  21215]
 [ 76781  99744  21202]
 [ 77362 106372  21254]]"
